Authority,Age group,Count
E09000001,Under 12,1278
E09000001,Adults,15171
E09000001,12-17,167
E08000016,Unknown,13835
E06000022,Unknown,23250
E06000008,Under 12,3257
E06000008,Adults,6315
E06000008,12-17,958
E06000009,Under 12,3558
E06000009,Adults,4696
E06000009,12-17,607
E08000001,Under 12,6638
E08000001,Adults,9028
E08000001,12-17,2265
E06000058,Unknown,40275
E06000036,Under 12,46892
E06000036,Adults,174848
E06000036,12-17,37489
E08000032,Unknown,32861
E09000005,Under 12,457
E09000005,Adults,1768
E09000005,12-17,294
E06000023,Under 12,16557
E06000023,Adults,52886
E06000023,12-17,3659
E09000006,Under 12,9566
E09000006,Adults,20770
E09000006,12-17,3018
E06000060,Under 12,12701
E06000060,Adults,24577
E06000060,12-17,2736
E08000002,Adults,9603
E08000033,Under 12,5384
E08000033,Adults,10388
E08000033,12-17,1657
E10000003,Under 12,21048
E10000003,Adults,33416
E10000003,12-17,3729
E06000056,Under 12,9562
E06000056,Adults,14482
E06000056,12-17,384
E06000050,Under 12,13725
E06000050,Adults,29320
E06000050,12-17,2137
E06000052,Under 12,13926
E06000052,Adults,26624
E06000052,12-17,3744
E08000026,Under 12,8607
E08000026,Adults,9619
E08000026,12-17,2520
E06000063,Unknown,16804
E06000005,Unknown,6664
E06000015,Unknown,26699
E10000007,Under 12,21964
E10000007,Adults,51307
E10000007,12-17,3982
E10000008,Under 12,28493
E10000008,Adults,83881
E10000008,12-17,7997
E08000017,Under 12,3719
E08000017,Adults,9076
E08000017,12-17,607
E06000059,Under 12,7460
E06000059,Adults,17585
E06000059,12-17,1448
E08000027,Unknown,28047
E06000011,Under 12,9476
E06000011,Adults,31012
E06000011,12-17,2075
E10000011,Unknown,42567
E06000014,Unknown,24736
E08000037,Under 12,3469
E08000037,Adults,12627
E08000037,12-17,769
E09000011,Under 12,5335
E09000011,Adults,19264
E09000011,12-17,1262
E09000012,Under 12,4947
E09000012,Adults,9543
E09000012,12-17,1703
E06000006,Under 12,2099
E06000006,Adults,4380
E06000006,12-17,603
E09000013,Unknown,20825
E10000014,Unknown,149893
E09000014,Under 12,8396
E09000014,Adults,24256
E09000014,12-17,3238
E09000015,Unknown,34260
E06000001,Under 12,1069
E06000001,Adults,2342
E06000001,12-17,85
E06000019,Unknown,18119
E10000015,Under 12,16009
E10000015,Adults,44073
E10000015,12-17,6844
E06000010,Unknown,17309
E06000046,Unknown,11106
E09000019,Unknown,22190
E09000020,Under 12,2813
E09000020,Adults,13020
E09000020,12-17,1377
E10000016,Under 12,72545
E10000016,Adults,102253
E10000016,12-17,12318
E09000021,Under 12,5093
E09000021,Adults,9169
E09000021,12-17,1677
E08000034,Adults,27270
E08000011,Under 12,2488
E08000011,Adults,3669
E08000011,12-17,439
E09000022,Unknown,57275
E10000017,Under 12,38107
E10000017,Adults,66467
E10000017,12-17,7728
E06000016,Under 12,21822
E06000016,Adults,31218
E06000016,12-17,6387
E10000018,Unknown,53096
E09000023,Unknown,19187
E10000019,Under 12,12483
E10000019,Adults,28488
E10000019,12-17,2582
E09000002,Under 12,2511
E09000002,Adults,4664
E09000002,12-17,1429
E09000003,Unknown,34487
E09000004,Unknown,28809
E09000007,Under 12,2298
E09000007,Adults,8612
E09000007,12-17,748
E09000009,Under 12,6876
E09000009,Adults,5064
E09000009,12-17,32856
E09000017,Under 12,14039
E09000017,Adults,17431
E09000017,12-17,2807
E09000018,Under 12,5640
E09000018,Adults,21371
E09000018,12-17,2897
E09000027,Under 12,6404
E09000027,Adults,19823
E09000027,12-17,2714
E09000029,Under 12,7871
E09000029,Adults,23473
E09000029,12-17,3916
E06000032,Unknown,12570
E08000003,Under 12,18711
E08000003,Adults,65091
E08000003,12-17,8861
E09000024,Unknown,
E06000002,Under 12,1165
E06000002,Adults,55
E06000002,12-17,1490
E08000021,Unknown,14225
E09000025,Under 12,29681
E09000025,Adults,29348
E09000025,12-17,6880
E10000020,Under 12,35589
E10000020,Adults,100494
E10000020,12-17,8404
E06000012,Under 12,1839
E06000012,Adults,6675
E06000012,12-17,411
E06000013,Under 12,4222
E06000013,Adults,7096
E06000024,Under 12,7712
E06000024,Adults,18998
E06000024,12-17,948
E08000022,Under 12,5376
E08000022,Adults,14485
E08000022,12-17,838
E10000023,Unknown,58510
E06000057,Unknown,20130
E06000018,Under 12,8253
E06000018,Adults,26467
E06000018,12-17,3333
E10000024,Unknown,108627
E08000004,Under 12,5814
E08000004,Adults,7514
E08000004,12-17,1443
E10000025,Under 12,27233
E10000025,Adults,4763
E10000025,12-17,38877
E06000031,Under 12,42581
E06000031,Adults,115112
E06000031,12-17,13064
E06000044,Under 12,5056
E06000044,Adults,9256
E06000044,12-17,574
E06000038,Unknown,12938
E08000005,Under 12,5688
E08000005,Adults,6893
E08000005,12-17,400
E08000018,Unknown,15008
E06000040,Unknown,16024
E06000017,Under 12,1281
E06000017,Adults,4031
E06000017,12-17,252
E08000006,Unknown,19049
E08000028,Under 12,6812
E08000028,Adults,9192
E08000028,12-17,2782
E08000014,Under 12,8665
E08000014,Adults,23080
E08000014,12-17,4259
E08000019,Unknown,66280
E06000051,Unknown,35900
E08000029,Unknown,16539
E10000027,Under 12,18251
E10000027,Adults,49728
E10000027,12-17,2499
E06000025,Under 12,20126
E06000025,Adults,23972
E06000025,12-17,1628
E08000023,Under 12,4295
E08000023,Adults,6893
E08000023,12-17,302
E06000045,Unknown,19790
E09000028,Unknown,31382
E08000013,Under 12,3696
E08000013,Adults,5990
E08000013,12-17,485
E10000028,Under 12,17369
E10000028,Adults,34042
E10000028,12-17,8556
E08000007,Unknown,23189
E06000004,Under 12,4796
E06000004,Adults,10145
E06000004,12-17,336
E06000021,Under 12,4255
E06000021,Adults,10153
E06000021,12-17,2355
E10000029,Unknown,
E08000024,Unknown,6191
E10000030,Under 12,45848
E10000030,Adults,127083
E10000030,12-17,11490
E06000030,Under 12,4710
E06000030,Adults,8154
E06000030,12-17,1502
E08000008,Unknown,14742
E06000020,Unknown,11281
E06000034,Under 12,6033
E06000034,Adults,11548
E06000034,12-17,1839
E06000027,Under 12,3421
E06000027,Adults,11733
E06000027,12-17,1124
E09000030,Under 12,6129
E09000030,Adults,14667
E09000030,12-17,3110
E09000026,Under 12,10277
E09000026,Adults,14729
E09000026,12-17,4201
E08000036,Under 12,6086
E08000036,Adults,22275
E08000036,12-17,2826
E08000030,Under 12,10846
E08000030,Adults,18496
E08000030,12-17,2431
E09000032,Under 12,11432
E09000032,Adults,22252
E09000032,12-17,3669
E06000007,Unknown,16992
E10000031,Unknown,58754
E06000037,Under 12,4744
E06000037,Adults,8745
E06000037,12-17,1372
E10000032,Under 12,46932
E10000032,Adults,93575
E10000032,12-17,4805
E09000033,Under 12,4893
E09000033,Adults,26738
E09000033,12-17,2695
E06000064,Unknown,17670
E08000010,Unknown,7961
E06000054,Under 12,18194
E06000054,Adults,29579
E06000054,12-17,2661
E08000015,Under 12,6571
E08000015,Adults,10557
E08000015,12-17,1024
E08000031,Under 12,7102
E08000031,Adults,12624
E08000031,12-17,1436
E10000034,Under 12,11025
E10000034,Adults,33259
E10000034,12-17,2142
